Title,Year,Director,Rotten_tomatoes_score,Budget_M,Worldwide_gross_box_office_performance,Won_Academy_Award,Nominated_Academy_Award
Toy Story,1995,John Lasseter,100%,30,362,Y,Y
A Bug's Life,1998,John Lasseter,92%,120,363.4,N,Y
Toy Story 2,1999,John Lasseter,100%,90,485,N,Y
"Monsters, Inc.",2001,Pete Docter,96%,115,525.4,Y,Y
Finding Nemo,2003,Andrew Stanton,99%,94,867.9,Y,Y
The Incredibles,2004,Brad Bird,97%,92,631.4,Y,Y
Cars,2006,John Lasseter,74%,120,462,N,Y
Ratatouille,2007,Brad Bird,96%,150,623.7,Y,Y
WALL-E,2008,Andrew Stanton,96%,180,521.3,Y,Y
Up,2009,Pete Docter,98%,175,731.3,Y,Y
Toy Story 3,2010,Lee Unkrich,99%,200,1063.2,Y,Y
Cars 2,2011,John Lasseter,39%,200,559.9,N,N
Brave,2012,Mark Andrews and Brenda Chapman,78%,185,539,Y,Y
Monsters University,2013,Dan Scanlon,78%,200,743.6,N,N
Inside Out,2015,Pete Docter,98%,175,851.6,N,N
The Good Dinosaur,2015,Peter Sohn,77%,200,167.7,N,N
